score,sentiment,text
0.902,neutral,b'AT_USER AT_USER there will be a korea chapter in the definitive trump presidential biography that wil\xe2\x80\xa6 URL
0.898,neutral,b'rt AT_USER retweeted warqpress (AT_USER international community is reluctant to put a harness on the dictator of sudan .. wha\xe2\x80\xa6
0.923,neutral,b'rt AT_USER retweeted warqpress (AT_USER from darfur region are humans too \xe2\x80\xa2\xe2\x80\xa2 save them \xe2\x80\xa2\xe2\x80\xa2 protect them\n\nrealdonaldtrump\xe2\x80\xa6
0.926,neutral,b'rt AT_USER let\xe2\x80\x99s do what americans do best...win!! call out the leftist for who they are.. anti-american nflboycott foxnews makea\xe2\x80\xa6
0.523,neutral,b'rt AT_USER realdonaldtrump does this moron know that it was the british and not the canadians who burned the white house in 1812? or t\xe2\x80\xa6
0.53,negative,b'why is it that the last 2 republican presidents appears so stupid? bush was an idiot. realdonaldtrump is an idiot.\xe2\x80\xa6 URL
0.926,neutral,b'rt AT_USER let\xe2\x80\x99s do what americans do best...win!! call out the leftist for who they are.. anti-american nflboycott foxnews makea\xe2\x80\xa6
0.702,neutral,"b'sad realdonaldtrump faketweets: rt whitehouse: paul bedard reports in the washington examiner: ""$3 billion payof\xe2\x80\xa6 URL"
0.673,neutral,b'operationbackyardbrawl \nqanon\n#realdonaldtrump\nthis video is great for sharing to your friends who are unaware of\xe2\x80\xa6 URL
0.801,neutral,b'rt AT_USER quick look at the visions vid :)\nAT_USER AT_USER AT_USER AT_USER AT_USER AT_USER np\xe2\x80\xa6
0.612,neutral,b'rt AT_USER awesome:)\nAT_USER AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER np unsignedho\xe2\x80\xa6
0.48,negative,b'can we send trump there to confirm these findings? and how soon can he go?\nnasa nasasocial realdonaldtrump
0.926,neutral,b'rt AT_USER let\xe2\x80\x99s do what americans do best...win!! call out the leftist for who they are.. anti-american nflboycott foxnews makea\xe2\x80\xa6
0.926,neutral,b'rt AT_USER let\xe2\x80\x99s do what americans do best...win!! call out the leftist for who they are.. anti-american nflboycott foxnews makea\xe2\x80\xa6
0.923,neutral,b'it is inappropriate for any administration to imply that thy will be in office for more that the term under the\xe2\x80\xa6 URL
0.68,neutral,b'awesome:)\nAT_USER AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER np\xe2\x80\xa6 URL
0.594,positive,b'sad realdonaldtrump faketweets: rt realdonaldtrump: great day of meetings with prime minister abeshinzo of japan\xe2\x80\xa6 URL
0.824,neutral,b'sad realdonaldtrump faketweets: rt realdonaldtrump: pm abe and i are also working to improve the trading relatio\xe2\x80\xa6 URL
0.824,positive,b'sad realdonaldtrump faketweets: great day of meetings with prime minister abeshinzo of japan! URL cnn
0.924,neutral,b'sad realdonaldtrump faketweets: pm abe and i are also working to improve the trading relationship between the u.\xe2\x80\xa6 URL
0.667,neutral,b'quick look at the visions vid :)\nAT_USER AT_USER AT_USER AT_USER AT_USER AT_USER URL
0.546,neutral,"b'so, donald, what additional insults are you going to give un before the meeting is cancelled?what a macabre act yo\xe2\x80\xa6 URL"
0.453,positive,"b'associate of joseph mifsud, described by eu parliament as ""reliable ally"" to georgesoros URL URL"
0.791,neutral,"b'sad realdonaldtrump faketweets: rt whitehouse: ""there has never been a better time to invest in the united state\xe2\x80\xa6 URL"
0.836,neutral,"b'donald, you are the one with shit in your mouth...bolton, pence and gulliani, your ""three stooges"" would not say su\xe2\x80\xa6 URL"
0.926,neutral,b'rt AT_USER let\xe2\x80\x99s do what americans do best...win!! call out the leftist for who they are.. anti-american nflboycott foxnews makea\xe2\x80\xa6
0.843,neutral,"b""rt AT_USER on father's day treat yourself + ur family with this. visit my store. there's more. \xf0\x9f\x99\x82\norder here: URL"
0.614,positive,"b'sad realdonaldtrump faketweets: rt realdonaldtrump: today, i am greatly honored to welcome my good friend, pm ab\xe2\x80\xa6 URL"
0.528,positive,"b'sad realdonaldtrump faketweets: today, i am greatly honored to welcome my good friend, pm abe of japan to the wh\xe2\x80\xa6 URL"
0.564,neutral,"b'sad realdonaldtrump faketweets: rt whitehouse: for many, opioid addiction begins early. this ad campaign from on\xe2\x80\xa6 URL"
0.716,neutral,b'realdonaldtrump does this moron know that it was the british and not the canadians who burned the white house in 1\xe2\x80\xa6 URL
0.583,neutral,b'rt AT_USER realdonaldtrump URL trump tells another lie. omg what is it about this idiot? everything out of his\xe2\x80\xa6
0.862,neutral,"b'leader kim jong un, listening?president trump has alerted his security that he will be playing a round of golf in f\xe2\x80\xa6 URL"
0.792,neutral,"b'former head of dnc aided &amp; abetted muslim it spy, imran awan - URL leverage\xe2\x80\xa6 URL"
0.853,neutral,"b""on father's day treat yourself + ur family with this. visit my store. there's more. \xf0\x9f\x99\x82\norder here:\xe2\x80\xa6 URL"
0.843,neutral,"b""rt AT_USER on father's day treat yourself + ur family with this. visit my store. there's more. \xf0\x9f\x99\x82\norder here: URL"
0.853,neutral,"b""on father's day treat yourself + ur family with this. visit my store. there's more. \xf0\x9f\x99\x82\norder here:\xe2\x80\xa6 URL"
0.853,neutral,"b""on father's day treat yourself + ur family with this. visit my store. there's more. \xf0\x9f\x99\x82\norder here:\xe2\x80\xa6 URL"
0.853,neutral,"b""on father's day treat yourself + ur family with this. visit my store. there's more. \xf0\x9f\x99\x82\norder here:\xe2\x80\xa6 URL"
0.65,neutral,"b'so sick of these spoiled, coddled, multi-millionaire sports athletes like devantesmithpelly lebronjames &amp; others\xe2\x80\xa6 URL"
0.679,neutral,b'sad realdonaldtrump faketweets: rt flotus: proud of this administration\xe2\x80\x99s continued efforts in combatting opioid\xe2\x80\xa6 URL
0.886,neutral,b'nooneabovethelaw\nAT_USER you bet we are coming for you! familypreservation keepfamilyhome\xe2\x80\xa6 URL
0.519,positive,b'sad realdonaldtrump faketweets: rt vp: powerful new video from ondcp on the opioidepidemic that has touched nea\xe2\x80\xa6 URL
0.514,neutral,b'rt AT_USER every person on twitter should view this now URL realdonaldtrump
0.957,negative,b'realdonaldtrump URL trump tells another lie. omg what is it about this idiot? everything out of his mouth is a lie!
0.926,neutral,b'rt AT_USER let\xe2\x80\x99s do what americans do best...win!! call out the leftist for who they are.. anti-american nflboycott foxnews makea\xe2\x80\xa6
0.541,neutral,b'AT_USER AT_USER potus AT_USER whitehouse AT_USER maxinewaters AT_USER URL
0.62,neutral,b'every person on twitter should view this now URL realdonaldtrump
0.588,neutral,"b'rt AT_USER kim jong un must be pissed how trump has had bolton, pence and now gulliani make insulting statements to make trump look\xe2\x80\xa6"
0.759,neutral,"b'kim jong un must be pissed how trump has had bolton, pence and now gulliani make insulting statements to make trump\xe2\x80\xa6 URL"
0.795,neutral,b'AT_USER sessions is leaning away from realdonaldtrump because donnie still suffers from incontinence. fox and\xe2\x80\xa6 URL
0.848,neutral,"b'facebook, amazon, google and twitter all work with left-wing splc realdonaldtrump the companies above, are shuttin\xe2\x80\xa6 URL"
0.905,neutral,"b""AT_USER you all act like you know alice johnson personally. let's be honest you never heard her story before\xe2\x80\xa6 URL"
0.623,neutral,b'realdonaldtrump potus didn\xe2\x80\x99t have a problem with stormydaniels line of work when he had sex with her rudyguilliani.
0.829,neutral,b'AT_USER hopefully she can sign donnie up. realdonaldtrump is so broad at the butt he has to turn sideways whe\xe2\x80\xa6 URL
0.933,neutral,"b""AT_USER AT_USER the people want jim jordan not mccarthy, he's friends with ryan. jordan will push th\xe2\x80\xa6 URL"
0.66,neutral,"b""AT_USER it's impossible to do both for two reason.\n1: realdonaldtrump has never deserved loyalty \n2: salem sa\xe2\x80\xa6 URL"
0.778,neutral,b'surfing with soba recovery center 24 hr helpline 866 447 5298 URL oceans surfing sober\xe2\x80\xa6 URL
0.538,neutral,b'rt AT_USER nice :) AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER np unsignedhour musichouru\xe2\x80\xa6
0.848,neutral,b'rt AT_USER check em out :)\nAT_USER AT_USER AT_USER AT_USER AT_USER np unsignedhour musichouruk un\xe2\x80\xa6
0.905,neutral,b'AT_USER really realdonaldtrump your not prepared to meet kim jong un at all. he is going to manipulate you so eas\xe2\x80\xa6 URL
0.644,neutral,b'wherearethechildren wherearethechildren wherearethechildren realdonaldtrump you are one sick son of\xe2\x80\xa6 URL
0.462,neutral,"b'rt AT_USER nice that a ""mere"" judge - enforcing the much-hyped ""rule of law"" - has instructed realdonaldtrump to actually have to face\xe2\x80\xa6"
0.462,neutral,"b'rt AT_USER nice that a ""mere"" judge - enforcing the much-hyped ""rule of law"" - has instructed realdonaldtrump to actually have to face\xe2\x80\xa6"
0.942,neutral,"b""realdonaldtrump when the summit door closes behind you, you're in dangerous territory minus 1 tool in your chest o\xe2\x80\xa6 URL"
0.848,neutral,b'rt AT_USER check em out :)\nAT_USER AT_USER AT_USER AT_USER AT_USER np unsignedhour musichouruk un\xe2\x80\xa6
